# QMC Seed Set
# seed_set_id: phi_qmc_001
# qmc_type: sobol
# num_samples: 1000
# dimensions: 5
# seed: 42
# timestamp_utc: 2025-12-16T03:09:52.653333+00:00
# generator: scipy.stats.qmc
# scramble: true
#
row_id,dim_0,dim_1,dim_2,dim_3,dim_4
0,4.3102947436273098e-01,8.1436797231435776e-01,8.0641276668757200e-01,5.3456684574484825e-02,2.9793923161923885e-01
1,6.7859451286494732e-01,1.8135544285178185e-01,3.5173162817955017e-02,5.7724772673100233e-01,8.5865226853638887e-01
2,8.4669742360711098e-01,6.0919822845607996e-01,5.6376002915203571e-01,3.5131297726184130e-01,6.1848499253392220e-01
3,1.0617862269282341e-01,3.9799966383725405e-01,3.4037167672067881e-01,7.7939523011445999e-01,3.8087136112153530e-02
4,2.3205129150301218e-01,6.7848160676658154e-01,2.3065539635717869e-01,9.7291986364871264e-01,2.1366295032203197e-01
5,9.7082677576690912e-01,3.2678010500967503e-01,9.8627004120498896e-01,4.0418345481157303e-01,6.2950904387980700e-01
6,5.5446515511721373e-01,8.9939840789884329e-01,3.9525947254151106e-01,6.7702802084386349e-01,8.9309954270720482e-01
7,3.0515679996460676e-01,9.4388800673186779e-02,6.3427277654409409e-01,2.0007913094013929e-01,4.5006130542606115e-01
8,3.1944143213331699e-01,5.4901339393109083e-01,4.5353506505489349e-01,4.8077871371060610e-01,7.8870993759483099e-01
9,5.7094226963818073e-01,4.4767763372510672e-01,7.0084888767451048e-01,8.9644668996334076e-01,3.6910967156291008e-01
10,9.0356748551130295e-01,7.7737649716436863e-01,1.6493780259042978e-01,1.8488524667918682e-01,1.0925784427672625e-01
11,1.4354889094829559e-01,2.2297677211463451e-01,9.2690037377178669e-01,6.9234396051615477e-01,5.4854287020862103e-01
12,1.9389023073017597e-02,9.4248529244214296e-01,5.0549253914505243e-01,5.6119160167872906e-01,6.9970365520566702e-01
13,7.7772533614188433e-01,5.9838489629328251e-02,2.7380367554724216e-01,6.9390724413096905e-02,1.4274377003312111e-01
14,6.9678442832082510e-01,7.2962513193488121e-01,8.7213846296072006e-01,8.5904999542981386e-01,3.7914191652089357e-01
15,4.4360130932182074e-01,2.6903643459081650e-01,9.4550940208137035e-02,2.7153615653514862e-01,9.6329388581216335e-01
16,4.8880770057439804e-01,7.0317488163709641e-01,7.4604592658579350e-01,6.2813840247690678e-01,2.0758003927767277e-02
17,7.4531818926334381e-01,2.8937345370650291e-01,4.7480531129986048e-01,2.4469722714275122e-01,5.7332574017345905e-01
18,7.9572078026831150e-01,9.9824939761310816e-01,8.7840839009732008e-01,9.5528210792690516e-01,8.4083289187401533e-01
19,3.2653288915753365e-02,6.2619345262646675e-03,1.5501914173364639e-01,4.1754971817135811e-01,2.5326247513294220e-01
20,1.5653636213392019e-01,7.8823613934218884e-01,2.9495191108435392e-01,3.2989104185253382e-01,4.9864614848047495e-01
21,9.2183545138686895e-01,2.1824573911726475e-01,5.5056744813919067e-01,7.8946559503674507e-01,9.0701832808554173e-01
22,6.1920352745801210e-01,5.0890868064016104e-01,8.4510149434208870e-02,7.8288652002811432e-04,6.7858795356005430e-01
23,3.6492463666945696e-01,4.8561017494648695e-01,8.2352446857839823e-01,6.1856992449611425e-01,2.2709541767835617e-01
24,2.6055306568741798e-01,9.0998910646885633e-01,1.7930225469172001e-02,8.3774826768785715e-01,5.0386426597833633e-01
25,5.0531334802508354e-01,8.9388838969171047e-02,7.6524505950510502e-01,2.8173042461276054e-01,9.1432805173099041e-02
26,9.5369339548051357e-01,6.3859623111784458e-01,3.5431776195764542e-01,5.0864173658192158e-01,3.2393700815737247e-01
27,2.1794010512530804e-01,3.6493199877440929e-01,6.1628122907131910e-01,1.1083315964788198e-01,7.7137120906263590e-01
28,9.1855953447520733e-02,5.8300166297703981e-01,9.4498020410537720e-01,1.3587542064487934e-01,9.7671675682067871e-01
29,8.2977980654686689e-01,4.1859035287052393e-01,2.1329044830054045e-01,7.3683815356343985e-01,4.2820741515606642e-01
30,6.2922693137079477e-01,8.6989748105406761e-01,6.8667196575552225e-01,4.6301702503114939e-01,1.5665689297020435e-01
31,3.8663721177726984e-01,1.2754427641630173e-01,4.0908342786133289e-01,9.0969271585345268e-01,7.4828665051609278e-01
32,3.9592641498893499e-01,6.2299330811947584e-01,1.7887662164866924e-01,6.0029427334666252e-01,4.5371029432862997e-01
33,6.5119569655507803e-01,3.8054426666349173e-01,9.1691311169415712e-01,3.0352898873388767e-02,8.8945435360074043e-01
34,8.2735764700919390e-01,8.3182504214346409e-01,4.5277937408536673e-01,8.0438335891813040e-01,6.4927560556679964e-01
35,6.3020338304340839e-02,1.6756203584372997e-01,7.0546458289027214e-01,3.2626001723110676e-01,1.9390781782567501e-01
36,1.8913523852825165e-01,8.8560380507260561e-01,8.4655678179115057e-01,4.2607035394757986e-01,5.7883753441274166e-02
37,9.5124094933271408e-01,1.1184372100979090e-01,1.2414521351456642e-01,9.5109783299267292e-01,5.9869983419775963e-01
38,5.2731238491833210e-01,6.6102501377463341e-01,5.2570266090333462e-01,2.2390757128596306e-01,8.6233226675540209e-01
39,2.6981150545179844e-01,3.4057303518056870e-01,2.5739252287894487e-01,6.5325678233057261e-01,2.9426306299865246e-01
40,3.5465178173035383e-01,7.6382746547460556e-01,5.9230168629437685e-01,9.3395833577960730e-01,9.4352732412517071e-01
41,5.9823379945009947e-01,2.4067821726202965e-01,3.1569097749888897e-01,4.4333190657198429e-01,3.9889704901725054e-01
42,9.2328921053558588e-01,5.3131409082561731e-01,7.8714893385767937e-01,7.3179765418171883e-01,1.3909478113055229e-01
