# QMC Seed Set
# seed_set_id: phi_qmc_001
# qmc_type: sobol
# num_samples: 1000
# dimensions: 4
# seed: 42
# timestamp_utc: 2025-12-15T01:33:10.377747+00:00
# generator: scipy.stats.qmc
# scramble: true
#
row_id,dim_0,dim_1,dim_2,dim_3
0,4.3102947436273098e-01,8.1436797231435776e-01,8.0641276668757200e-01,5.3456684574484825e-02
1,5.6103733368217945e-01,1.8533285893499851e-01,1.7884947918355465e-01,5.1018891111016273e-01
2,8.3246797975152731e-01,7.0992159470915794e-01,6.3038351293653250e-01,2.7952859830111265e-01
3,2.0671516936272383e-01,2.9185449890792370e-01,2.6112110354006290e-01,7.8411509934812784e-01
4,1.8795997835695744e-02,6.1961572896689177e-01,1.8791439943015575e-02,9.0601147245615721e-01
5,8.9538613427430391e-01,3.8117509428411722e-01,9.0416726283729076e-01,4.0925156418234110e-01
6,7.4811917543411255e-01,9.8181357886642218e-01,4.2136034276336432e-01,6.7895745299756527e-01
7,3.6894864216446877e-01,1.6901996918022633e-02,5.3281021304428577e-01,1.3630366697907448e-01
8,2.5633997470140457e-01,6.7970734555274248e-01,4.5027103088796139e-01,4.9589284416288137e-01
9,6.2659699842333794e-01,3.1657212879508734e-01,5.6635970901697874e-01,9.4443122018128633e-01
10,9.7979847434908152e-01,7.9599454347044230e-01,1.1067528463900089e-01,2.0633963681757450e-01
11,1.0601453203707933e-01,2.0626630913466215e-01,9.9971308466047049e-01,7.3398252576589584e-01
12,1.6808111872524023e-01,8.7847932986915112e-01,7.2647687606513500e-01,5.8077795244753361e-01
13,7.9273290466517210e-01,1.2474962696433067e-01,3.5257566254585981e-01,1.0780661553144455e-01
14,5.6366257183253765e-01,5.2006565965712070e-01,8.3953297324478626e-01,8.6934881564229727e-01
15,4.4427339173853397e-01,4.7718190401792526e-01,2.0830771233886480e-01,3.1923383940011263e-01
16,4.8408960644155741e-01,5.5577067285776138e-01,6.1804148089140654e-01,6.5280411392450333e-01
17,6.0196864325553179e-01,4.4258777238428593e-01,4.9047768674790859e-01,1.5690233744680882e-01
18,7.5253524631261826e-01,9.1995216533541679e-01,9.4198930915445089e-01,9.2673220206052065e-01
